Manhattan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1," Premium High-Speed HDMI Cable with Ethernet, HEC, ARC, 3D, 4K@60Hz UHD, 18 Gbps Bandwidth, HDMI Male to Male, Shielded, 1 m (3 ft.), Black",MH - 354837,,
2,,,,
3,,,,
4,,,,
,,,,
Peoplelink ,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,"●  Metallic Body with Top Sliding Mechanism
●  Visualiser Tray
●  Rack for Equipments
●  21.5 inches Touch Screen Monitor
●  Laptop Interface with inbuilt switcher
●  Gooseneck Mic, Wireless lapel Mic and   handheld mic, 
●  100 Watts Amplifier, 
●  Speaker Pair
● Central Control System with Button Pad
Projector,   Screen,   Audio and Video Control",Peoplelink ePodium Ultra - PCU-PDP-EP-ULTRA,2025-07-15 00:00:00,
2,"•   Metallic Body with Top Sliding Mechanism
●  Visualiser Tray
●  Rack for Equipments
●  21.5 inches Touch Screen Monitor
●  Laptop Interface with inbuilt switcher
●  Gooseneck Mic, Wireless lapel Mic and handheld mic, 100 Watts Amplifier, Speaker Pair
●  Central Control System with 7 inches Touchpad
●  3x RS-232 Port, 2x IR/RS-232 Port, 5 High Voltage Relay Control",Peoplelink ePodium Ultra Plus - PCU-PDP-EP-ULTRA PLUS,2025-07-15 00:00:00,
3,"PeopleLink's 86"" Automatic Data Processing Interactive Unit, 4K UHD Interactive Panel with Built-In Android OS, 4GB+32GB Configuration and recognizes up to 20 Unique Points of touch.",PeopleLink R Series R86S,2025-07-21 00:00:00,
4,Windows based OPS Slot PC,OPS System-I5,,
