EisTouch ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,"15.6"" Non-Touch Monitor Motorised Lift with accessories",ET-SLIM ML-15.6,2025-04-23 00:00:00,
2,"Digital Podium (23.6"" Touch Monitor / Laptop input: HDMI*1, Type-C*1, Audio*1 / Output interface: HDMI, audio, USB, network port, MIC, AC power with switch / Electric power lifting (up to 250 mm) to adjust podium height / Removable Laptop Tray)",ET-500XA,2025-03-04 00:00:00,
,,,,
Seada Technology,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,"Video wall controller
4 HDMI IN and 4 HDMI OUT.",G44,2025-03-07 00:00:00,
2,"8 HDMI inputs or 4 HDMI with 1 4K HDMI/DP
Up to 16 HDMI outputs",SWMicro08,2025-03-07 00:00:00,
3,HBT70B-KIT HDMI2.0 HDBaseT Extenders,HBT70B-KIT,2025-03-07 00:00:00,
